﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Division No.  1,1001,13135,7%,74,3%,720,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,990,1%,23,1%,69,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  2,1002,345,3%,4,13%,7,5%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,35,0%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  3,1003,145,1%,1,6%,17,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,15,0%,0,0%,2,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  4,1004,740,6%,0,0%,11,8%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,155,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  5,1005,1065,4%,1,1%,50,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,95,0%,2,3%,2,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  6,1006,1165,5%,7,6%,48,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,100,0%,4,3%,3,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  7,1007,450,2%,1,3%,17,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,35,0%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  8,1008,315,1%,0,0%,13,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,25,0%,0,0%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  9,1009,170,2%,1,2%,1,1%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,20,0%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 10,1010,1335,8%,1,1%,37,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,370,2%,2,2%,6,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 11,1011,15,1%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,10,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kings,1101,655,6%,0,0%,49,14%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,115,1%,0,0%,5,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Queens,1102,7495,14%,368,28%,770,23%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1170,2%,114,9%,110,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Prince,1103,3850,14%,16,27%,180,23%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1665,6%,5,8%,47,6%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Shelburne,1201,515,6%,0,0%,11,21%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,105,1%,1,3%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
OLMCs of Nova Scotia,Yarmouth,1202,4615,30%,15,29%,39,36%,49130,15%,650,11%,1854,22%,4948830,21%,77529,44%,140643,40%,2710,18%,10,19%,12,11%,15920,5%,301,5%,394,5%,1607390,7%,37000,21%,36077,10%
OLMCs of Nova Scotia,Digby,1203,4175,39%,3,11%,31,35%,49130,15%,650,11%,1854,22%,4948830,21%,77529,44%,140643,40%,3165,29%,0,0%,16,18%,15920,5%,301,5%,394,5%,1607390,7%,37000,21%,36077,10%
N/A,Queens,1204,310,5%,0,0%,10,20%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,40,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Annapolis,1205,945,8%,0,0%,84,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,235,2%,0,0%,18,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Lunenburg,1206,1860,6%,0,0%,61,17%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,355,1%,1,2%,8,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kings,1207,3405,9%,16,4%,199,14%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,815,2%,12,3%,46,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Hants,1208,1830,7%,0,0%,70,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,355,1%,0,0%,10,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
OLMCs of Nova Scotia,Halifax,1209,36695,13%,622,11%,1727,21%,49130,15%,650,11%,1854,22%,4948830,21%,77529,44%,140643,40%,7870,3%,282,5%,348,4%,15920,5%,301,5%,394,5%,1607390,7%,37000,21%,36077,10%
N/A,Colchester,1210,2085,7%,11,5%,73,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,350,1%,6,3%,14,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Cumberland,1211,925,5%,38,7%,33,8%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,210,1%,27,5%,7,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Pictou,1212,1385,5%,0,0%,43,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,225,1%,0,0%,4,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Guysborough,1213,145,3%,2,10%,3,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,35,1%,1,5%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Antigonish,1214,1295,11%,3,14%,24,19%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,300,2%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
OLMCs of Nova Scotia,Inverness,1215,2015,20%,10,31%,30,33%,49130,15%,650,11%,1854,22%,4948830,21%,77529,44%,140643,40%,1265,12%,7,22%,9,10%,15920,5%,301,5%,394,5%,1607390,7%,37000,21%,36077,10%
OLMCs of Nova Scotia,Richmond,1216,1630,30%,0,0%,30,39%,49130,15%,650,11%,1854,22%,4948830,21%,77529,44%,140643,40%,910,17%,2,50%,10,13%,15920,5%,301,5%,394,5%,1607390,7%,37000,21%,36077,10%
N/A,Cape Breton,1217,2855,5%,241,31%,338,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,445,1%,93,12%,51,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Victoria,1218,160,4%,0,0%,11,16%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,50,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Saint John,1301,6850,14%,84,35%,221,28%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1875,4%,53,22%,52,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Charlotte,1302,1460,9%,31,14%,59,23%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,315,2%,11,5%,9,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Sunbury,1303,4235,22%,72,9%,413,28%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,1975,10%,49,6%,186,13%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
N/A,Queens,1304,625,10%,16,42%,37,18%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,180,3%,6,16%,9,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kings,1305,8325,19%,1,6%,220,32%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1520,3%,1,6%,33,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Albert,1306,5080,27%,8,100%,256,45%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1445,8%,6,75%,70,12%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Westmorland,1307,56315,57%,1890,69%,2985,75%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,42260,43%,1638,60%,2179,54%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Kent,1308,15025,78%,13,72%,508,85%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,13235,69%,10,56%,422,71%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Northumberland,1309,8770,31%,429,38%,708,32%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,6360,23%,309,27%,348,16%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
N/A,York,1310,15445,24%,398,59%,1060,40%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,4930,8%,204,30%,342,13%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Carleton,1311,1740,10%,32,32%,56,25%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,345,2%,11,11%,11,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Victoria,1312,6195,53%,32,67%,118,75%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,5175,44%,23,48%,88,56%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Madawaska,1313,20560,98%,77,99%,254,97%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,19675,94%,68,87%,229,88%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Restigouche,1314,15315,79%,36,97%,175,84%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,12945,67%,26,70%,129,62%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
Northern New Brunswick,Gloucester,1315,46545,92%,322,73%,1065,87%,172960,65%,2871,55%,6225,61%,4948830,21%,77529,44%,140643,40%,43115,86%,280,64%,849,69%,144740,54%,2403,46%,4430,44%,1607390,7%,37000,21%,36077,10%
N/A,Les Îles-de-la-Madeleine,2401,2570,32%,29,81%,90,90%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,465,6%,3,8%,6,6%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Le Rocher-Percé,2402,2470,23%,4,40%,31,66%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,710,7%,0,0%,1,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,La Côte-de-Gaspé,2403,4195,38%,39,67%,84,88%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1050,10%,4,7%,10,11%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,La Haute-Gaspésie,2404,1195,17%,2,33%,21,75%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,40,1%,0,0%,1,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
OLMCs elsewhere in Quebec,Bonaventure,2405,4825,45%,4,67%,27,90%,54750,63%,17,74%,512,92%,4948830,21%,77529,44%,140643,40%,1565,15%,0,0%,4,13%,31890,37%,4,17%,195,35%,1607390,7%,37000,21%,36077,10%
OLMCs elsewhere in Quebec,Avignon,2406,4390,49%,1,100%,40,87%,54750,63%,17,74%,512,92%,4948830,21%,77529,44%,140643,40%,1630,18%,0,0%,16,35%,31890,37%,4,17%,195,35%,1607390,7%,37000,21%,36077,10%
N/A,La Matapédia,2407,1780,16%,0,0%,24,56%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,60,1%,1,33%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Matane,2408,2850,22%,115,38%,200,54%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,75,1%,3,1%,4,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,La Mitis,2409,2185,20%,114,44%,82,71%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,95,1%,9,3%,7,6%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Rimouski-Neigette,2410,11250,31%,25,38%,344,78%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,365,1%,2,3%,9,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Les Basques,2411,1000,20%,0,0%,11,61%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,20,0%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Rivière-du-Loup,2412,5730,27%,9,30%,52,68%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,150,1%,1,3%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Témiscouata,2413,2185,18%,0,0%,21,68%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,90,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kamouraska,2414,2930,23%,0,0%,25,89%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,90,1%,1,50%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Charlevoix-Est,2415,1965,21%,0,0%,26,70%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,50,1%,0,0%,1,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Charlevoix,2416,1885,25%,0,0%,20,77%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,60,1%,0,0%,1,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,L'Islet,2417,2125,20%,1,100%,17,74%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,50,0%,0,0%,1,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Montmagny,2418,3085,23%,3,60%,39,70%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,75,1%,0,0%,1,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Bellechasse,2419,6305,27%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,240,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,L'Île-d'Orléans,2420,1685,40%,3,100%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,55,1%,1,33%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,La Côte-de-Beaupré,2421,6880,39%,3,50%,167,72%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,215,1%,0,0%,2,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,La Jacques-Cartier,2422,15125,52%,475,49%,551,79%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1185,4%,28,3%,29,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
City of Quebec,Québec,2423,187995,51%,1574,61%,6211,84%,187995,51%,1574,61%,6212,84%,4948830,21%,77529,44%,140643,40%,11275,3%,129,5%,264,4%,11275,3%,129,5%,264,4%,1607390,7%,37000,21%,36077,10%
N/A,Lévis,2425,41800,45%,5,20%,871,83%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1340,1%,0,0%,19,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,La Nouvelle-Beauce,2426,7560,32%,0,0%,120,81%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,240,1%,0,0%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Robert-Cliche,2427,2985,26%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,100,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Les Etchemins,2428,2480,25%,0,0%,18,82%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,105,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Beauce-Sartigan,2429,10030,30%,10,56%,149,84%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,370,1%,1,6%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Le Granit,2430,3475,27%,12,100%,39,89%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,190,1%,3,25%,2,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Les Appalaches,2431,6400,26%,11,22%,169,68%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,360,1%,1,2%,6,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,L'Érable,2432,3460,24%,0,0%,45,80%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,130,1%,0,0%,1,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Lotbinière,2433,5720,28%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,185,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Portneuf,2434,10775,33%,89,23%,344,72%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,375,1%,0,0%,8,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Mékinac,2435,1575,22%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,50,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Shawinigan,2436,8525,29%,51,19%,323,66%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,425,1%,2,1%,20,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Francheville,2437,36430,38%,23,42%,954,70%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1670,2%,0,0%,38,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Bécancour,2438,3975,31%,1,100%,58,73%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,140,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Arthabaska,2439,14145,32%,1,14%,117,79%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,550,1%,0,0%,2,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Les Sources,2440,2560,31%,0,0%,16,80%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,290,4%,0,0%,3,15%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Sherbrooke Area,Le Haut-Saint-François,2441,5745,41%,3,100%,49,82%,110160,56%,482,59%,1617,90%,4948830,21%,77529,44%,140643,40%,1460,10%,0,0%,9,15%,20700,11%,53,6%,218,12%,1607390,7%,37000,21%,36077,10%
N/A,Le Val-Saint-François,2442,8480,44%,0,0%,68,89%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1460,8%,0,0%,11,14%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Sherbrooke Area,Sherbrooke,2443,56625,54%,153,58%,1003,91%,110160,56%,482,59%,1617,90%,4948830,21%,77529,44%,140643,40%,6995,7%,13,5%,109,10%,20700,11%,53,6%,218,12%,1607390,7%,37000,21%,36077,10%
Sherbrooke Area,Coaticook,2444,5755,51%,62,100%,61,85%,110160,56%,482,59%,1617,90%,4948830,21%,77529,44%,140643,40%,1265,11%,9,15%,14,19%,20700,11%,53,6%,218,12%,1607390,7%,37000,21%,36077,10%
Sherbrooke Area,Memphrémagog,2445,18670,62%,52,100%,177,89%,110160,56%,482,59%,1617,90%,4948830,21%,77529,44%,140643,40%,4325,14%,6,12%,29,15%,20700,11%,53,6%,218,12%,1607390,7%,37000,21%,36077,10%
Sherbrooke Area,Brome-Missisquoi,2446,23365,66%,212,49%,328,89%,110160,56%,482,59%,1617,90%,4948830,21%,77529,44%,140643,40%,6655,19%,25,6%,57,16%,20700,11%,53,6%,218,12%,1607390,7%,37000,21%,36077,10%
N/A,La Haute-Yamaska,2447,25140,45%,2,40%,315,80%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,2465,4%,0,0%,26,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Acton,2448,2485,26%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,135,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Drummond,2449,22655,35%,74,27%,300,69%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1225,2%,3,1%,12,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Nicolet-Yamaska,2450,4065,28%,2,100%,54,73%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,170,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Maskinongé,2451,5710,25%,0,0%,135,65%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,210,1%,0,0%,2,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,D'Autray,2452,8760,32%,0,0%,97,68%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,395,1%,0,0%,4,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Pierre-De Saurel,2453,10180,32%,6,30%,125,79%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,450,1%,1,5%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Les Maskoutains,2454,19490,35%,64,54%,277,79%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,960,2%,8,7%,11,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Rouville,2455,10205,43%,1,100%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,635,3%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Le Haut-Richelieu,2456,38520,51%,586,68%,997,85%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,3300,4%,103,12%,78,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,La Vallée-du-Richelieu,2457,50340,62%,0,0%,868,89%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,3980,5%,0,0%,74,8%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Montreal Area,Longueuil,2458,186410,70%,847,92%,4930,93%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,50380,19%,155,17%,1000,19%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
N/A,Marguerite-D'Youville,2459,28040,54%,132,64%,453,84%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1305,3%,32,16%,17,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,L'Assomption,2460,40280,49%,6,46%,738,83%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,2715,3%,0,0%,45,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Joliette,2461,14225,35%,66,44%,204,80%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,575,1%,2,1%,4,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Matawinie,2462,11890,38%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1445,5%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Montcalm,2463,12490,36%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,800,2%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Montreal Area,Les Moulins,2464,56270,53%,12,50%,1099,84%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,5460,5%,1,4%,88,7%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
Montreal Area,Laval,2465,200740,73%,514,51%,4798,94%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,79215,29%,67,7%,1185,23%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
Montreal Area,Montréal,2466,1030455,79%,6189,86%,24569,94%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,506835,39%,1049,15%,7618,29%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
Montreal Area,Roussillon,2467,79260,70%,7,100%,1579,93%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,20530,18%,2,29%,375,22%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
N/A,Les Jardins-de-Napierville,2468,8435,47%,76,96%,152,89%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1370,8%,17,22%,21,12%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Montreal Area,Le Haut-Saint-Laurent,2469,9625,69%,22,96%,88,98%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,4750,34%,9,39%,49,54%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
N/A,Beauharnois-Salaberry,2470,18970,47%,4,57%,271,86%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1765,4%,0,0%,29,9%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Montreal Area,Vaudreuil-Soulanges,2471,78150,79%,138,97%,1568,96%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,31265,32%,57,40%,564,35%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
Montreal Area,Deux-Montagnes,2472,40065,62%,3,75%,714,90%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,6165,9%,0,0%,108,14%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
Montreal Area,Thérèse-De Blainville,2473,68805,65%,336,40%,1143,90%,1762205,74%,8069,79%,40608,94%,4948830,21%,77529,44%,140643,40%,9585,9%,17,2%,123,10%,717395,30%,1357,13%,11142,26%,1607390,7%,37000,21%,36077,10%
N/A,Mirabel,2474,18460,54%,16,100%,279,85%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1195,3%,3,19%,22,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
