﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Parry Sound,3549,1890,7%,0,0%,22,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,700,3%,0,0%,6,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Manitoulin,3551,405,5%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,185,2%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Northern Ontario,Sudbury,3552,4645,33%,7,21%,59,48%,100915,41%,378,48%,806,50%,4948830,21%,77529,44%,140643,40%,3235,23%,3,9%,31,25%,69140,28%,224,28%,368,23%,1607390,7%,37000,21%,36077,10%
Northern Ontario,Greater Sudbury,3553,41480,39%,189,58%,0,0%,100915,41%,378,48%,806,50%,4948830,21%,77529,44%,140643,40%,26990,25%,108,33%,0,0%,69140,28%,224,28%,1807,3%,1607390,7%,37000,21%,36077,10%
Northern Ontario,Timiskaming,3554,7060,35%,39,35%,106,41%,100915,41%,378,48%,806,50%,4948830,21%,77529,44%,140643,40%,4600,23%,12,11%,37,14%,69140,28%,224,28%,368,23%,1607390,7%,37000,21%,36077,10%
Northern Ontario,Cochrane,3556,29760,57%,97,51%,365,64%,100915,41%,378,48%,806,50%,4948830,21%,77529,44%,140643,40%,22590,43%,70,37%,178,31%,69140,28%,224,28%,368,23%,1607390,7%,37000,21%,36077,10%
N/A,Algoma,3557,8670,12%,29,12%,164,24%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,3960,6%,9,4%,27,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Thunder Bay,3558,8235,9%,7,3%,143,17%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,3180,3%,5,2%,23,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Rainy River,3559,515,4%,1,3%,4,6%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,135,1%,0,0%,1,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kenora,3560,1925,5%,4,3%,26,16%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,635,2%,4,3%,4,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  1,4601,1060,10%,1,8%,11,20%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,570,5%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Winnipeg Area,Division No.  2,4602,8070,17%,2,22%,126,28%,56515,11%,417,9%,1709,18%,4948830,21%,77529,44%,140643,40%,4895,10%,0,0%,43,10%,21380,4%,172,4%,396,4%,1607390,7%,37000,21%,36077,10%
N/A,Division No.  3,4603,1625,5%,11,8%,18,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,720,2%,4,3%,5,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Winnipeg Area,Division No.  4,4604,940,16%,0,0%,0,0%,56515,11%,417,9%,1709,50%,4948830,21%,77529,44%,140643,40%,700,12%,1,6%,0,0%,21380,4%,172,4%,368,23%,1607390,7%,37000,21%,36077,10%
N/A,Division No.  5,4605,175,2%,0,0%,6,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,50,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  6,4606,175,3%,0,0%,3,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,80,1%,0,0%,2,6%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  7,4607,2440,6%,5,1%,89,14%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,770,2%,4,1%,31,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
